student_id,fakultas,semester,wellbeing_score,academic_pressure,social_support,career_readiness,cluster_id,cluster_name,topik_keluhan,sentimen
MHS-00022,Hukum,1,44,62,38,60,3,Social Adaptation,Dukungan dosen dan dosen wali,Negatif
MHS-00023,Teknik,2,73,45,64,73,4,Balanced Wellbeing,Dukungan dosen dan dosen wali,Positif
MHS-00024,MIPA,6,47,60,48,63,3,Social Adaptation,Biaya kuliah dan keuangan,Negatif
MHS-00025,Teknik,1,54,54,56,56,2,Career Concern,Kesepian dan adaptasi sosial,Netral
MHS-00026,Ekonomi dan Bisnis,6,45,61,36,60,3,Social Adaptation,Biaya kuliah dan keuangan,Negatif
MHS-00027,Kedokteran,2,61,61,52,58,3,Social Adaptation,Kecemasan karier dan magang,Negatif
MHS-00028,Kedokteran,8,46,87,48,62,1,Academic Pressure,Biaya kuliah dan keuangan,Positif
MHS-00029,Kedokteran,3,57,60,63,32,2,Career Concern,Dukungan dosen dan dosen wali,Negatif
MHS-00030,Kedokteran,3,59,77,56,53,1,Academic Pressure,Kesepian dan adaptasi sosial,Negatif
MHS-00031,Teknik,6,86,32,81,79,4,Balanced Wellbeing,Kegiatan dan komunitas,Netral
MHS-00032,Ekonomi dan Bisnis,7,81,43,87,86,4,Balanced Wellbeing,Beban tugas dan ujian,Negatif
MHS-00033,Hukum,2,51,48,62,48,2,Career Concern,Kesepian dan adaptasi sosial,Positif
MHS-00034,Teknik,4,69,47,81,68,4,Balanced Wellbeing,Kesepian dan adaptasi sosial,Negatif
MHS-00035,Teknik,2,52,53,71,42,2,Career Concern,Biaya kuliah dan keuangan,Negatif
MHS-00036,MIPA,2,36,87,50,62,1,Academic Pressure,Kesepian dan adaptasi sosial,Positif
MHS-00037,Hukum,4,43,58,54,26,2,Career Concern,Biaya kuliah dan keuangan,Negatif
MHS-00038,Hukum,7,47,58,45,52,3,Social Adaptation,Biaya kuliah dan keuangan,Negatif
MHS-00039,Kedokteran,7,69,55,71,37,2,Career Concern,Layanan kampus dan fasilitas,Positif
MHS-00040,MIPA,8,70,41,68,78,4,Balanced Wellbeing,Kegiatan dan komunitas,Positif
MHS-00041,Ekonomi dan Bisnis,5,36,80,47,64,1,Academic Pressure,Kecemasan karier dan magang,Positif
MHS-00042,MIPA,4,65,37,63,78,4,Balanced Wellbeing,Dukungan dosen dan dosen wali,Netral
MHS-00043,Ilmu Budaya,4,63,62,38,54,3,Social Adaptation,Kecemasan karier dan magang,Positif
MHS-00044,MIPA,6,53,59,43,64,3,Social Adaptation,Kegiatan dan komunitas,Positif
MHS-00045,Ilmu Budaya,8,62,51,72,36,2,Career Concern,Biaya kuliah dan keuangan,Positif
MHS-00046,Ekonomi dan Bisnis,5,70,46,68,78,4,Balanced Wellbeing,Biaya kuliah dan keuangan,Negatif
MHS-00047,MIPA,8,43,70,62,55,1,Academic Pressure,Kesepian dan adaptasi sosial,Negatif
MHS-00048,Ilmu Budaya,1,77,45,87,66,4,Balanced Wellbeing,Biaya kuliah dan keuangan,Negatif
MHS-00049,Ilmu Budaya,4,63,42,85,57,4,Balanced Wellbeing,Biaya kuliah dan keuangan,Negatif
MHS-00050,MIPA,1,46,64,33,58,3,Social Adaptation,Kesepian dan adaptasi sosial,Netral
MHS-00051,Ilmu Budaya,6,61,56,61,51,2,Career Concern,Biaya kuliah dan keuangan,Positif
MHS-00052,Kedokteran,4,75,49,89,75,4,Balanced Wellbeing,Dukungan dosen dan dosen wali,Negatif
MHS-00053,Ilmu Budaya,2,48,97,50,47,1,Academic Pressure,Layanan kampus dan fasilitas,Positif
MHS-00054,Ekonomi dan Bisnis,5,41,47,59,30,2,Career Concern,Beban tugas dan ujian,Netral
MHS-00055,Hukum,4,62,59,83,84,4,Balanced Wellbeing,Beban tugas dan ujian,Netral
MHS-00056,Hukum,6,78,36,89,76,4,Balanced Wellbeing,Beban tugas dan ujian,Netral
MHS-00057,Hukum,3,92,58,70,62,4,Balanced Wellbeing,Kesepian dan adaptasi sosial,Negatif
MHS-00058,MIPA,5,62,55,23,61,3,Social Adaptation,Biaya kuliah dan keuangan,Positif
MHS-00059,Teknik,8,76,54,73,69,4,Balanced Wellbeing,Kegiatan dan komunitas,Negatif
MHS-00060,MIPA,4,46,92,62,45,1,Academic Pressure,Beban tugas dan ujian,Negatif
MHS-00061,Kedokteran,4,35,83,53,52,1,Academic Pressure,Kesepian dan adaptasi sosial,Netral
MHS-00062,Hukum,8,49,58,61,36,2,Career Concern,Biaya kuliah dan keuangan,Negatif
MHS-00063,Hukum,8,57,40,60,39,2,Career Concern,Biaya kuliah dan keuangan,Positif
MHS-00064,Teknik,3,62,63,62,48,2,Career Concern,Biaya kuliah dan keuangan,Negatif
MHS-00065,Kedokteran,8,67,35,81,74,4,Balanced Wellbeing,Kesepian dan adaptasi sosial,Negatif
MHS-00066,Hukum,1,61,48,77,75,4,Balanced Wellbeing,Kecemasan karier dan magang,Negatif
MHS-00067,Ekonomi dan Bisnis,7,86,55,68,65,4,Balanced Wellbeing,Kesepian dan adaptasi sosial,Positif
MHS-00068,Ekonomi dan Bisnis,4,55,58,65,43,2,Career Concern,Biaya kuliah dan keuangan,Netral
MHS-00069,Ekonomi dan Bisnis,5,56,82,49,48,1,Academic Pressure,Dukungan dosen dan dosen wali,Negatif
MHS-00070,Ekonomi dan Bisnis,7,46,96,42,44,1,Academic Pressure,Beban tugas dan ujian,Netral
MHS-00071,MIPA,5,80,48,75,86,4,Balanced Wellbeing,Kesepian dan adaptasi sosial,Negatif
MHS-00072,Ilmu Budaya,6,66,45,81,75,4,Balanced Wellbeing,Layanan kampus dan fasilitas,Negatif
MHS-00073,Kedokteran,1,58,37,91,73,4,Balanced Wellbeing,Kegiatan dan komunitas,Positif
MHS-00074,Teknik,8,80,55,73,67,4,Balanced Wellbeing,Biaya kuliah dan keuangan,Negatif
MHS-00075,MIPA,1,40,86,50,45,1,Academic Pressure,Kesepian dan adaptasi sosial,Negatif
MHS-00076,Ilmu Budaya,7,85,34,96,74,4,Balanced Wellbeing,Beban tugas dan ujian,Negatif
MHS-00077,Ilmu Budaya,8,50,56,20,52,3,Social Adaptation,Beban tugas dan ujian,Negatif
MHS-00078,Teknik,8,75,47,75,77,4,Balanced Wellbeing,Beban tugas dan ujian,Netral
MHS-00079,Ilmu Budaya,3,55,52,53,44,2,Career Concern,Kesepian dan adaptasi sosial,Negatif
MHS-00080,MIPA,5,60,87,59,46,1,Academic Pressure,Kegiatan dan komunitas,Negatif
MHS-00081,Kedokteran,7,41,48,29,61,3,Social Adaptation,Kesepian dan adaptasi sosial,Positif
MHS-00082,Ilmu Budaya,7,36,92,49,55,1,Academic Pressure,Kesepian dan adaptasi sosial,Positif
MHS-00083,Teknik,8,52,81,62,50,1,Academic Pressure,Beban tugas dan ujian,Netral
MHS-00084,Kedokteran,7,55,56,41,48,2,Career Concern,Dukungan dosen dan dosen wali,Negatif
MHS-00085,MIPA,1,60,58,45,51,3,Social Adaptation,Layanan kampus dan fasilitas,Negatif
MHS-00086,Teknik,8,75,37,89,80,4,Balanced Wellbeing,Kecemasan karier dan magang,Netral
MHS-00087,MIPA,3,73,53,86,81,4,Balanced Wellbeing,Kecemasan karier dan magang,Negatif
MHS-00088,Ilmu Budaya,5,39,62,39,69,3,Social Adaptation,Dukungan dosen dan dosen wali,Negatif
MHS-00089,Hukum,7,54,69,31,66,3,Social Adaptation,Dukungan dosen dan dosen wali,Negatif
MHS-00090,Hukum,5,52,60,52,39,2,Career Concern,Beban tugas dan ujian,Positif
MHS-00091,Ilmu Budaya,5,44,49,48,61,3,Social Adaptation,Kegiatan dan komunitas,Positif
MHS-00092,Ekonomi dan Bisnis,2,41,53,35,46,3,Social Adaptation,Dukungan dosen dan dosen wali,Netral
MHS-00093,Ekonomi dan Bisnis,4,49,58,34,70,3,Social Adaptation,Kecemasan karier dan magang,Positif
MHS-00094,Kedokteran,6,57,64,78,34,2,Career Concern,Kegiatan dan komunitas,Negatif
MHS-00095,MIPA,6,84,36,100,71,4,Balanced Wellbeing,Beban tugas dan ujian,Positif
MHS-00096,Kedokteran,2,52,49,49,36,2,Career Concern,Dukungan dosen dan dosen wali,Negatif
MHS-00097,Hukum,5,54,59,51,63,3,Social Adaptation,Dukungan dosen dan dosen wali,Negatif
MHS-00098,Ilmu Budaya,6,54,60,65,41,2,Career Concern,Dukungan dosen dan dosen wali,Positif
MHS-00099,MIPA,7,47,45,29,45,3,Social Adaptation,Biaya kuliah dan keuangan,Negatif
MHS-00100,Hukum,6,78,43,76,64,4,Balanced Wellbeing,Beban tugas dan ujian,Negatif
MHS-00101,Teknik,1,64,49,73,65,4,Balanced Wellbeing,Kegiatan dan komunitas,Negatif
MHS-00102,Ekonomi dan Bisnis,6,52,73,42,44,1,Academic Pressure,Kegiatan dan komunitas,Negatif
MHS-00103,Hukum,1,78,49,79,78,4,Balanced Wellbeing,Kecemasan karier dan magang,Negatif
MHS-00104,Hukum,2,59,62,61,34,2,Career Concern,Kesepian dan adaptasi sosial,Negatif
MHS-00105,Hukum,5,59,70,59,26,2,Career Concern,Kesepian dan adaptasi sosial,Netral
MHS-00106,Teknik,6,72,47,77,65,4,Balanced Wellbeing,Layanan kampus dan fasilitas,Negatif
MHS-00107,MIPA,7,48,54,32,54,3,Social Adaptation,Beban tugas dan ujian,Positif
MHS-00108,Ilmu Budaya,6,60,40,64,81,4,Balanced Wellbeing,Kegiatan dan komunitas,Negatif
MHS-00109,Teknik,2,54,53,72,58,2,Career Concern,Kegiatan dan komunitas,Negatif
MHS-00110,Hukum,2,59,62,71,41,2,Career Concern,Kesepian dan adaptasi sosial,Negatif
MHS-00111,MIPA,4,72,25,73,69,4,Balanced Wellbeing,Kecemasan karier dan magang,Netral
MHS-00112,MIPA,1,66,56,67,67,4,Balanced Wellbeing,Layanan kampus dan fasilitas,Positif
MHS-00113,Ekonomi dan Bisnis,7,45,75,54,52,1,Academic Pressure,Beban tugas dan ujian,Negatif
MHS-00114,Hukum,6,77,54,75,80,4,Balanced Wellbeing,Kegiatan dan komunitas,Positif
MHS-00115,Ilmu Budaya,8,48,79,62,56,1,Academic Pressure,Layanan kampus dan fasilitas,Negatif
MHS-00116,Hukum,5,42,84,50,43,1,Academic Pressure,Beban tugas dan ujian,Negatif
MHS-00117,Teknik,1,60,77,55,45,1,Academic Pressure,Kesepian dan adaptasi sosial,Positif
MHS-00118,Hukum,1,60,45,81,71,4,Balanced Wellbeing,Kesepian dan adaptasi sosial,Negatif
MHS-00119,Teknik,6,38,56,34,59,3,Social Adaptation,Kecemasan karier dan magang,Positif
MHS-00120,MIPA,2,89,54,80,84,4,Balanced Wellbeing,Kesepian dan adaptasi sosial,Positif
MHS-00121,Kedokteran,6,86,51,74,72,4,Balanced Wellbeing,Dukungan dosen dan dosen wali,Positif
MHS-00122,Teknik,3,47,86,62,63,1,Academic Pressure,Kegiatan dan komunitas,Netral
MHS-00123,Kedokteran,6,43,46,23,39,3,Social Adaptation,Kecemasan karier dan magang,Negatif
MHS-00124,Teknik,1,69,41,87,78,4,Balanced Wellbeing,Biaya kuliah dan keuangan,Positif
MHS-00125,Hukum,1,68,39,70,76,4,Balanced Wellbeing,Kesepian dan adaptasi sosial,Positif
MHS-00126,Kedokteran,2,29,61,24,62,3,Social Adaptation,Layanan kampus dan fasilitas,Netral
MHS-00127,Ilmu Budaya,7,65,44,68,87,4,Balanced Wellbeing,Kegiatan dan komunitas,Negatif
MHS-00128,Hukum,3,53,63,35,52,3,Social Adaptation,Biaya kuliah dan keuangan,Negatif
MHS-00129,Teknik,5,51,50,70,53,2,Career Concern,Layanan kampus dan fasilitas,Negatif
MHS-00130,Hukum,7,56,50,34,49,3,Social Adaptation,Layanan kampus dan fasilitas,Negatif
MHS-00131,Teknik,5,56,79,55,56,1,Academic Pressure,Kegiatan dan komunitas,Positif
MHS-00132,MIPA,7,64,44,87,66,4,Balanced Wellbeing,Kecemasan karier dan magang,Negatif
MHS-00133,Ekonomi dan Bisnis,8,80,53,69,80,4,Balanced Wellbeing,Layanan kampus dan fasilitas,Negatif
MHS-00134,Kedokteran,8,44,75,23,60,3,Social Adaptation,Kesepian dan adaptasi sosial,Positif
MHS-00135,Teknik,8,60,64,49,34,2,Career Concern,Kegiatan dan komunitas,Negatif
MHS-00136,MIPA,3,52,64,42,65,3,Social Adaptation,Kegiatan dan komunitas,Negatif
MHS-00137,Ekonomi dan Bisnis,7,56,61,70,47,2,Career Concern,Beban tugas dan ujian,Negatif
MHS-00138,Ilmu Budaya,3,67,34,84,79,4,Balanced Wellbeing,Kegiatan dan komunitas,Netral
MHS-00139,MIPA,7,47,97,42,48,1,Academic Pressure,Beban tugas dan ujian,Positif
MHS-00140,Ilmu Budaya,1,40,73,69,57,1,Academic Pressure,Dukungan dosen dan dosen wali,Netral
MHS-00141,Teknik,6,53,56,51,49,2,Career Concern,Beban tugas dan ujian,Positif
MHS-00142,Kedokteran,5,74,62,69,46,2,Career Concern,Dukungan dosen dan dosen wali,Negatif
MHS-00143,Teknik,6,66,36,79,66,4,Balanced Wellbeing,Layanan kampus dan fasilitas,Negatif
MHS-00144,Hukum,8,59,60,39,61,3,Social Adaptation,Beban tugas dan ujian,Negatif
MHS-00145,Kedokteran,1,56,78,64,51,1,Academic Pressure,Kegiatan dan komunitas,Netral
MHS-00146,Ilmu Budaya,8,44,76,57,43,1,Academic Pressure,Kesepian dan adaptasi sosial,Negatif
MHS-00147,Ilmu Budaya,3,59,53,69,48,2,Career Concern,Layanan kampus dan fasilitas,Negatif
MHS-00148,Ilmu Budaya,1,46,64,66,51,2,Career Concern,Dukungan dosen dan dosen wali,Positif
MHS-00149,Kedokteran,3,77,57,72,49,2,Career Concern,Beban tugas dan ujian,Negatif
MHS-00150,MIPA,1,60,87,49,57,1,Academic Pressure,Layanan kampus dan fasilitas,Negatif
MHS-00151,Kedokteran,4,61,62,57,49,2,Career Concern,Beban tugas dan ujian,Negatif
MHS-00152,MIPA,5,86,55,78,68,4,Balanced Wellbeing,Dukungan dosen dan dosen wali,Positif
MHS-00153,Hukum,6,59,51,76,75,4,Balanced Wellbeing,Dukungan dosen dan dosen wali,Negatif
MHS-00154,Kedokteran,4,83,35,90,68,4,Balanced Wellbeing,Beban tugas dan ujian,Positif
MHS-00155,Ekonomi dan Bisnis,2,51,67,39,48,2,Career Concern,Beban tugas dan ujian,Negatif
MHS-00156,Hukum,2,51,47,57,67,3,Social Adaptation,Kesepian dan adaptasi sosial,Negatif
MHS-00157,MIPA,1,65,42,80,69,4,Balanced Wellbeing,Kegiatan dan komunitas,Negatif
MHS-00158,Teknik,5,56,52,77,37,2,Career Concern,Kecemasan karier dan magang,Netral
MHS-00159,Ekonomi dan Bisnis,3,48,58,71,60,2,Career Concern,Dukungan dosen dan dosen wali,Netral
MHS-00160,MIPA,5,91,50,97,83,4,Balanced Wellbeing,Dukungan dosen dan dosen wali,Negatif
MHS-00161,Ekonomi dan Bisnis,7,55,75,50,46,1,Academic Pressure,Biaya kuliah dan keuangan,Negatif
MHS-00162,Kedokteran,6,50,61,71,56,2,Career Concern,Kesepian dan adaptasi sosial,Negatif
MHS-00163,Kedokteran,7,51,61,62,47,2,Career Concern,Kegiatan dan komunitas,Netral
MHS-00164,Ilmu Budaya,8,43,91,49,64,1,Academic Pressure,Kesepian dan adaptasi sosial,Positif
MHS-00165,Kedokteran,8,52,61,59,42,2,Career Concern,Layanan kampus dan fasilitas,Positif
MHS-00166,Ilmu Budaya,6,54,55,47,49,3,Social Adaptation,Beban tugas dan ujian,Negatif
MHS-00167,MIPA,2,58,66,38,51,3,Social Adaptation,Kecemasan karier dan magang,Positif
MHS-00168,MIPA,1,70,54,65,53,2,Career Concern,Beban tugas dan ujian,Negatif
MHS-00169,Kedokteran,3,60,75,49,72,3,Social Adaptation,Kesepian dan adaptasi sosial,Positif
MHS-00170,Teknik,6,62,51,60,37,2,Career Concern,Biaya kuliah dan keuangan,Netral
MHS-00171,Hukum,4,74,33,88,75,4,Balanced Wellbeing,Dukungan dosen dan dosen wali,Negatif
MHS-00172,MIPA,2,77,38,82,68,4,Balanced Wellbeing,Kecemasan karier dan magang,Negatif
MHS-00173,Hukum,1,64,53,94,66,4,Balanced Wellbeing,Dukungan dosen dan dosen wali,Negatif
MHS-00174,Kedokteran,6,43,60,46,73,3,Social Adaptation,Dukungan dosen dan dosen wali,Positif
MHS-00175,Ekonomi dan Bisnis,5,71,42,80,84,4,Balanced Wellbeing,Kegiatan dan komunitas,Negatif
MHS-00176,Teknik,7,47,75,63,37,2,Career Concern,Kesepian dan adaptasi sosial,Positif
MHS-00177,Kedokteran,8,55,72,57,51,2,Career Concern,Kecemasan karier dan magang,Negatif
MHS-00178,Hukum,4,83,54,74,70,4,Balanced Wellbeing,Dukungan dosen dan dosen wali,Negatif
MHS-00179,Ekonomi dan Bisnis,7,56,56,83,39,2,Career Concern,Dukungan dosen dan dosen wali,Positif
MHS-00180,Teknik,4,54,80,44,38,1,Academic Pressure,Layanan kampus dan fasilitas,Positif
MHS-00181,Ilmu Budaya,8,62,53,81,73,4,Balanced Wellbeing,Kecemasan karier dan magang,Positif
MHS-00182,Kedokteran,8,86,46,97,88,4,Balanced Wellbeing,Dukungan dosen dan dosen wali,Netral
MHS-00183,Ilmu Budaya,5,70,47,83,77,4,Balanced Wellbeing,Dukungan dosen dan dosen wali,Negatif
MHS-00184,Ilmu Budaya,6,50,57,48,44,3,Social Adaptation,Beban tugas dan ujian,Negatif
MHS-00185,Kedokteran,6,58,59,55,49,2,Career Concern,Biaya kuliah dan keuangan,Netral
MHS-00186,Hukum,5,59,71,57,45,2,Career Concern,Dukungan dosen dan dosen wali,Negatif
MHS-00187,MIPA,6,50,66,45,68,3,Social Adaptation,Kesepian dan adaptasi sosial,Netral
MHS-00188,Teknik,8,82,33,75,64,4,Balanced Wellbeing,Layanan kampus dan fasilitas,Netral
MHS-00189,Kedokteran,8,38,79,50,49,1,Academic Pressure,Beban tugas dan ujian,Netral
MHS-00190,MIPA,1,73,46,85,80,4,Balanced Wellbeing,Layanan kampus dan fasilitas,Negatif
MHS-00191,Kedokteran,2,63,47,59,42,2,Career Concern,Layanan kampus dan fasilitas,Positif
MHS-00192,Hukum,7,84,47,81,60,4,Balanced Wellbeing,Biaya kuliah dan keuangan,Positif
MHS-00193,Hukum,6,67,54,74,65,4,Balanced Wellbeing,Beban tugas dan ujian,Negatif
MHS-00194,Hukum,7,76,46,86,74,4,Balanced Wellbeing,Layanan kampus dan fasilitas,Negatif
MHS-00195,Hukum,7,54,97,55,49,1,Academic Pressure,Layanan kampus dan fasilitas,Positif
MHS-00196,Teknik,4,49,83,44,44,1,Academic Pressure,Dukungan dosen dan dosen wali,Negatif
MHS-00197,Hukum,6,76,41,85,73,4,Balanced Wellbeing,Layanan kampus dan fasilitas,Netral
MHS-00198,Teknik,3,65,69,63,50,2,Career Concern,Dukungan dosen dan dosen wali,Netral
MHS-00199,Ilmu Budaya,3,53,53,49,42,2,Career Concern,Biaya kuliah dan keuangan,Negatif
MHS-00200,MIPA,7,72,57,86,57,4,Balanced Wellbeing,Kesepian dan adaptasi sosial,Netral
MHS-00201,Hukum,4,37,67,57,49,1,Academic Pressure,Beban tugas dan ujian,Negatif
MHS-00202,Ilmu Budaya,4,81,58,78,63,4,Balanced Wellbeing,Kegiatan dan komunitas,Positif
MHS-00203,Ekonomi dan Bisnis,4,52,94,54,38,1,Academic Pressure,Kesepian dan adaptasi sosial,Positif
MHS-00204,Ilmu Budaya,8,50,58,61,53,2,Career Concern,Beban tugas dan ujian,Positif
MHS-00205,Hukum,3,60,66,77,48,2,Career Concern,Beban tugas dan ujian,Negatif
MHS-00206,Ilmu Budaya,6,62,65,50,54,2,Career Concern,Biaya kuliah dan keuangan,Positif
MHS-00207,MIPA,8,63,49,77,77,4,Balanced Wellbeing,Kecemasan karier dan magang,Positif
MHS-00208,Teknik,7,63,85,66,47,1,Academic Pressure,Kecemasan karier dan magang,Positif
MHS-00209,MIPA,8,40,81,46,43,1,Academic Pressure,Dukungan dosen dan dosen wali,Negatif
MHS-00210,Hukum,7,41,80,56,51,1,Academic Pressure,Kegiatan dan komunitas,Positif
MHS-00211,Ilmu Budaya,2,50,73,37,65,3,Social Adaptation,Biaya kuliah dan keuangan,Positif
MHS-00212,Hukum,1,71,60,100,86,4,Balanced Wellbeing,Beban tugas dan ujian,Negatif
MHS-00213,Kedokteran,2,49,58,44,48,3,Social Adaptation,Layanan kampus dan fasilitas,Positif
MHS-00214,Kedokteran,1,70,43,90,68,4,Balanced Wellbeing,Kecemasan karier dan magang,Positif
MHS-00215,Ekonomi dan Bisnis,4,50,49,35,59,3,Social Adaptation,Layanan kampus dan fasilitas,Positif
MHS-00216,MIPA,6,58,55,74,43,2,Career Concern,Beban tugas dan ujian,Negatif
MHS-00217,Hukum,5,41,54,44,56,3,Social Adaptation,Kegiatan dan komunitas,Positif
MHS-00218,MIPA,5,65,51,78,71,4,Balanced Wellbeing,Kegiatan dan komunitas,Negatif
MHS-00219,Teknik,1,58,55,56,48,2,Career Concern,Biaya kuliah dan keuangan,Negatif
MHS-00220,Teknik,6,38,86,51,51,1,Academic Pressure,Layanan kampus dan fasilitas,Negatif
MHS-00221,Ekonomi dan Bisnis,3,55,67,76,52,2,Career Concern,Dukungan dosen dan dosen wali,Negatif
MHS-00222,Teknik,6,65,63,53,48,2,Career Concern,Biaya kuliah dan keuangan,Positif
MHS-00223,MIPA,7,45,63,46,58,3,Social Adaptation,Kegiatan dan komunitas,Positif
MHS-00224,Hukum,4,69,37,76,84,4,Balanced Wellbeing,Kesepian dan adaptasi sosial,Negatif
MHS-00225,Ilmu Budaya,5,54,51,56,41,2,Career Concern,Kegiatan dan komunitas,Positif
MHS-00226,Hukum,8,53,81,55,50,1,Academic Pressure,Dukungan dosen dan dosen wali,Negatif
MHS-00227,Kedokteran,4,56,70,52,48,1,Academic Pressure,Biaya kuliah dan keuangan,Netral
MHS-00228,Hukum,7,57,81,47,57,1,Academic Pressure,Layanan kampus dan fasilitas,Negatif
MHS-00229,Hukum,6,61,36,84,77,4,Balanced Wellbeing,Kecemasan karier dan magang,Netral
MHS-00230,Teknik,2,39,69,46,56,3,Social Adaptation,Biaya kuliah dan keuangan,Negatif
MHS-00231,Hukum,3,51,69,26,60,3,Social Adaptation,Biaya kuliah dan keuangan,Positif
MHS-00232,Kedokteran,8,88,53,79,66,4,Balanced Wellbeing,Kegiatan dan komunitas,Negatif
MHS-00233,Teknik,1,55,53,57,57,2,Career Concern,Kegiatan dan komunitas,Negatif
MHS-00234,Ilmu Budaya,8,75,36,73,71,4,Balanced Wellbeing,Kecemasan karier dan magang,Positif
MHS-00235,Ilmu Budaya,7,39,69,44,52,3,Social Adaptation,Beban tugas dan ujian,Netral
MHS-00236,Kedokteran,4,79,47,83,70,4,Balanced Wellbeing,Kesepian dan adaptasi sosial,Negatif
MHS-00237,Kedokteran,8,72,53,76,76,4,Balanced Wellbeing,Layanan kampus dan fasilitas,Negatif
MHS-00238,Teknik,3,65,39,77,79,4,Balanced Wellbeing,Biaya kuliah dan keuangan,Netral
MHS-00239,Hukum,3,44,85,46,42,1,Academic Pressure,Layanan kampus dan fasilitas,Negatif
MHS-00240,Ekonomi dan Bisnis,7,64,35,88,71,4,Balanced Wellbeing,Layanan kampus dan fasilitas,Netral
MHS-00241,Ekonomi dan Bisnis,5,62,52,63,44,2,Career Concern,Beban tugas dan ujian,Negatif
MHS-00242,Teknik,5,57,46,58,42,2,Career Concern,Kegiatan dan komunitas,Netral
MHS-00243,Hukum,4,76,37,81,82,4,Balanced Wellbeing,Biaya kuliah dan keuangan,Positif
MHS-00244,Ekonomi dan Bisnis,6,89,54,90,83,4,Balanced Wellbeing,Kegiatan dan komunitas,Netral
MHS-00245,Kedokteran,3,49,87,61,54,1,Academic Pressure,Biaya kuliah dan keuangan,Positif
MHS-00246,Ilmu Budaya,1,58,44,81,70,4,Balanced Wellbeing,Biaya kuliah dan keuangan,Positif
MHS-00247,Ilmu Budaya,3,44,67,55,40,1,Academic Pressure,Layanan kampus dan fasilitas,Netral
MHS-00248,Hukum,6,51,68,44,59,1,Academic Pressure,Kesepian dan adaptasi sosial,Positif
MHS-00249,Kedokteran,2,74,33,68,77,4,Balanced Wellbeing,Kegiatan dan komunitas,Netral
MHS-00250,MIPA,8,46,96,49,60,1,Academic Pressure,Kegiatan dan komunitas,Negatif
MHS-00251,Ilmu Budaya,8,49,73,66,63,1,Academic Pressure,Beban tugas dan ujian,Positif
MHS-00252,Teknik,6,81,41,91,62,4,Balanced Wellbeing,Biaya kuliah dan keuangan,Negatif
MHS-00253,Teknik,2,38,72,55,43,1,Academic Pressure,Beban tugas dan ujian,Negatif
MHS-00254,Ilmu Budaya,3,49,62,35,61,3,Social Adaptation,Kesepian dan adaptasi sosial,Negatif
MHS-00255,Ekonomi dan Bisnis,3,41,97,63,62,1,Academic Pressure,Beban tugas dan ujian,Netral
MHS-00256,Hukum,8,56,48,66,50,2,Career Concern,Kegiatan dan komunitas,Negatif
MHS-00257,Ekonomi dan Bisnis,5,47,74,42,58,1,Academic Pressure,Dukungan dosen dan dosen wali,Negatif
MHS-00258,Kedokteran,4,52,49,44,48,3,Social Adaptation,Layanan kampus dan fasilitas,Netral
