student_id,fakultas_code,norm_wellbeing,norm_pressure,norm_social,norm_career,cluster_label,pca_dim1,pca_dim2
MHS-00036,4,0.36,0.87,0.5,0.62,1,-1.009,0.268
MHS-00037,5,0.43,0.58,0.54,0.26,2,-0.086,-0.631
MHS-00038,5,0.47,0.58,0.45,0.52,3,-0.235,0.19
MHS-00039,2,0.69,0.55,0.71,0.37,2,0.257,-0.615
MHS-00040,4,0.7,0.41,0.68,0.78,4,0.597,0.142
MHS-00041,1,0.36,0.8,0.47,0.64,1,-0.862,0.365
MHS-00042,4,0.65,0.37,0.63,0.78,4,0.485,0.303
MHS-00043,3,0.63,0.62,0.38,0.54,3,-0.017,0.215
MHS-00044,4,0.53,0.59,0.43,0.64,3,-0.241,0.316
MHS-00045,3,0.62,0.51,0.72,0.36,2,0.263,-0.788
MHS-00046,1,0.7,0.46,0.68,0.78,4,0.427,0.186
MHS-00047,4,0.43,0.7,0.62,0.55,1,-0.491,-0.226
MHS-00048,3,0.77,0.45,0.87,0.66,4,0.478,-0.286
MHS-00049,3,0.63,0.42,0.85,0.57,4,0.509,-0.544
MHS-00050,4,0.46,0.64,0.33,0.58,3,-0.382,0.464
MHS-00051,3,0.61,0.56,0.61,0.51,2,-0.021,-0.085
MHS-00052,2,0.75,0.49,0.89,0.75,4,0.548,-0.288
MHS-00053,3,0.48,0.97,0.5,0.47,1,-1.055,-0.043
MHS-00054,1,0.41,0.47,0.59,0.3,2,-0.002,-0.637
MHS-00055,5,0.62,0.59,0.83,0.84,4,0.012,0.164
MHS-00056,5,0.78,0.36,0.89,0.76,4,0.734,-0.096
MHS-00057,5,0.92,0.58,0.7,0.62,4,0.536,-0.18
MHS-00058,4,0.62,0.55,0.23,0.61,3,0.161,0.723
MHS-00059,0,0.76,0.54,0.73,0.69,4,0.347,-0.073
MHS-00060,4,0.46,0.92,0.62,0.45,1,-1.026,-0.269
MHS-00061,2,0.35,0.83,0.53,0.52,1,-1.006,0.104
MHS-00062,5,0.49,0.58,0.61,0.36,2,-0.161,-0.341
MHS-00063,5,0.57,0.4,0.6,0.39,2,0.461,-0.438
MHS-00064,0,0.62,0.63,0.62,0.48,2,0.058,-0.252
MHS-00065,2,0.67,0.35,0.81,0.74,4,0.653,-0.11
MHS-00066,5,0.61,0.48,0.77,0.75,4,0.181,-0.073
MHS-00067,1,0.86,0.55,0.68,0.65,4,0.581,0.067
MHS-00068,1,0.55,0.58,0.65,0.43,2,-0.026,-0.388
MHS-00069,1,0.56,0.82,0.49,0.48,1,-0.496,-0.05
MHS-00070,1,0.46,0.96,0.42,0.44,1,-1.131,-0.135
MHS-00071,4,0.8,0.48,0.75,0.86,4,0.582,0.076
MHS-00072,3,0.66,0.45,0.81,0.75,4,0.635,0.019
MHS-00073,2,0.58,0.37,0.91,0.73,4,0.277,-0.333
MHS-00074,0,0.8,0.55,0.73,0.67,4,0.48,-0.078
MHS-00075,4,0.4,0.86,0.5,0.45,1,-0.921,-0.05
MHS-00076,3,0.85,0.34,0.96,0.74,4,0.911,-0.312
MHS-00077,3,0.5,0.56,0.2,0.52,3,-0.243,0.509
MHS-00078,0,0.75,0.47,0.75,0.77,4,0.692,0.231
MHS-00079,3,0.55,0.52,0.53,0.44,2,-0.074,-0.277
MHS-00080,4,0.6,0.87,0.59,0.46,1,-0.569,-0.448
MHS-00081,2,0.41,0.48,0.29,0.61,3,0.052,0.435
MHS-00082,3,0.36,0.92,0.49,0.55,1,-1.082,-0.02
MHS-00083,0,0.52,0.81,0.62,0.5,1,-0.734,-0.197
MHS-00084,2,0.55,0.56,0.41,0.48,2,-0.091,0.272
MHS-00085,4,0.6,0.58,0.45,0.51,3,-0.113,-0.045
MHS-00086,0,0.75,0.37,0.89,0.8,4,0.785,-0.197
MHS-00087,4,0.73,0.53,0.86,0.81,4,0.324,-0.162
MHS-00088,3,0.39,0.62,0.39,0.69,3,-0.388,0.397
MHS-00089,5,0.54,0.69,0.31,0.66,3,-0.262,0.645
MHS-00090,5,0.52,0.6,0.52,0.39,2,-0.204,-0.327
MHS-00091,3,0.44,0.49,0.48,0.61,3,-0.173,0.202
MHS-00092,1,0.41,0.53,0.35,0.46,3,-0.279,0.321
MHS-00093,1,0.49,0.58,0.34,0.7,3,-0.112,0.653
MHS-00094,2,0.57,0.64,0.78,0.34,2,-0.086,-0.893
MHS-00095,4,0.84,0.36,1.0,0.71,4,1.084,-0.569
MHS-00096,2,0.52,0.49,0.49,0.36,2,0.265,-0.227
MHS-00097,5,0.54,0.59,0.51,0.63,3,0.054,0.426
MHS-00098,3,0.54,0.6,0.65,0.41,2,-0.161,-0.598
MHS-00099,4,0.47,0.45,0.29,0.45,3,-0.034,0.399
MHS-00100,5,0.78,0.43,0.76,0.64,4,0.719,-0.193
MHS-00101,0,0.64,0.49,0.73,0.65,4,0.475,-0.172
MHS-00102,1,0.52,0.73,0.42,0.44,1,-0.414,0.036
MHS-00103,5,0.78,0.49,0.79,0.78,4,0.598,-0.091
MHS-00104,5,0.59,0.62,0.61,0.34,2,-0.147,-0.438
MHS-00105,5,0.59,0.7,0.59,0.26,2,0.135,-0.59
MHS-00106,0,0.72,0.47,0.77,0.65,4,0.598,-0.14
MHS-00107,4,0.48,0.54,0.32,0.54,3,-0.01,0.536
MHS-00108,3,0.6,0.4,0.64,0.81,4,0.361,0.363
MHS-00109,0,0.54,0.53,0.72,0.58,2,-0.13,-0.211
MHS-00110,5,0.59,0.62,0.71,0.41,2,-0.144,-0.744
MHS-00111,4,0.72,0.25,0.73,0.69,4,0.948,-0.033
MHS-00112,4,0.66,0.56,0.67,0.67,4,0.238,-0.069
MHS-00113,1,0.45,0.75,0.54,0.52,1,-0.617,-0.059
MHS-00114,5,0.77,0.54,0.75,0.8,4,0.289,-0.018
MHS-00115,3,0.48,0.79,0.62,0.56,1,-0.644,0.046
MHS-00116,5,0.42,0.84,0.5,0.43,1,-0.807,-0.143
MHS-00117,0,0.6,0.77,0.55,0.45,1,-0.296,-0.113
MHS-00118,5,0.6,0.45,0.81,0.71,4,0.475,-0.295
MHS-00119,0,0.38,0.56,0.34,0.59,3,-0.499,0.372
MHS-00120,4,0.89,0.54,0.8,0.84,4,0.698,0.009
MHS-00121,2,0.86,0.51,0.74,0.72,4,0.665,-0.085
MHS-00122,0,0.47,0.86,0.62,0.63,1,-0.906,0.049
MHS-00123,2,0.43,0.46,0.23,0.39,3,-0.199,0.347
MHS-00124,0,0.69,0.41,0.87,0.78,4,0.737,-0.087
MHS-00125,5,0.68,0.39,0.7,0.76,4,0.522,0.092
MHS-00126,2,0.29,0.61,0.24,0.62,3,-0.488,0.798
MHS-00127,3,0.65,0.44,0.68,0.87,4,0.276,0.278
MHS-00128,5,0.53,0.63,0.35,0.52,3,-0.315,0.149
MHS-00129,0,0.51,0.5,0.7,0.53,2,0.067,-0.517
MHS-00130,5,0.56,0.5,0.34,0.49,3,0.079,0.348
MHS-00131,0,0.56,0.79,0.55,0.56,1,-0.584,0.014
MHS-00132,4,0.64,0.44,0.87,0.66,4,0.484,-0.57
MHS-00133,1,0.8,0.53,0.69,0.8,4,0.539,0.111
MHS-00134,2,0.44,0.75,0.23,0.6,3,-0.599,0.624
MHS-00135,0,0.6,0.64,0.49,0.34,2,0.064,-0.363
MHS-00136,4,0.52,0.64,0.42,0.65,3,-0.173,0.437
MHS-00137,1,0.56,0.61,0.7,0.47,2,0.128,-0.419
MHS-00138,3,0.67,0.34,0.84,0.79,4,0.65,-0.097
MHS-00139,4,0.47,0.97,0.42,0.48,1,-0.996,0.171
MHS-00140,3,0.4,0.73,0.69,0.57,1,-0.657,-0.184
MHS-00141,0,0.53,0.56,0.51,0.49,2,-0.229,-0.088
MHS-00142,2,0.74,0.62,0.69,0.46,2,0.262,-0.549
MHS-00143,0,0.66,0.36,0.79,0.66,4,0.482,-0.407
MHS-00144,5,0.59,0.6,0.39,0.61,3,0.044,0.458
MHS-00145,2,0.56,0.78,0.64,0.51,1,-0.485,-0.066
MHS-00146,3,0.44,0.76,0.57,0.43,1,-0.581,-0.138
MHS-00147,3,0.59,0.53,0.69,0.48,2,0.191,-0.366
MHS-00148,3,0.46,0.64,0.66,0.51,2,-0.573,-0.016
MHS-00149,2,0.77,0.57,0.72,0.49,2,0.264,-0.569
MHS-00150,4,0.6,0.87,0.49,0.57,1,-0.632,0.19
MHS-00151,2,0.61,0.62,0.57,0.49,2,0.027,-0.049
MHS-00152,4,0.86,0.55,0.78,0.68,4,0.569,-0.197
MHS-00153,5,0.59,0.51,0.76,0.75,4,0.275,0.03
MHS-00154,2,0.83,0.35,0.9,0.68,4,0.979,-0.511
MHS-00155,1,0.51,0.67,0.39,0.48,2,-0.161,0.18
MHS-00156,5,0.51,0.47,0.57,0.67,3,0.028,0.194
MHS-00157,4,0.65,0.42,0.8,0.69,4,0.494,-0.171
MHS-00158,0,0.56,0.52,0.77,0.37,2,0.031,-0.816
MHS-00159,1,0.48,0.58,0.71,0.6,2,-0.126,-0.272
MHS-00160,4,0.91,0.5,0.97,0.83,4,0.695,-0.341
MHS-00161,1,0.55,0.75,0.5,0.46,1,-0.422,-0.134
MHS-00162,2,0.5,0.61,0.71,0.56,2,-0.308,-0.207
MHS-00163,2,0.51,0.61,0.62,0.47,2,-0.198,-0.1
MHS-00164,3,0.43,0.91,0.49,0.64,1,-1.003,0.301
MHS-00165,2,0.52,0.61,0.59,0.42,2,-0.244,-0.433
MHS-00166,3,0.54,0.55,0.47,0.49,3,-0.079,0.012
MHS-00167,4,0.58,0.66,0.38,0.51,3,-0.3,0.37
MHS-00168,4,0.7,0.54,0.65,0.53,2,0.279,-0.416
MHS-00169,2,0.6,0.75,0.49,0.72,3,-0.306,0.376
MHS-00170,0,0.62,0.51,0.6,0.37,2,0.351,-0.477
MHS-00171,5,0.74,0.33,0.88,0.75,4,0.699,-0.245
MHS-00172,4,0.77,0.38,0.82,0.68,4,0.758,-0.227
MHS-00173,5,0.64,0.53,0.94,0.66,4,0.243,-0.474
MHS-00174,2,0.43,0.6,0.46,0.73,3,-0.366,0.399
MHS-00175,1,0.71,0.42,0.8,0.84,4,0.621,0.231
MHS-00176,0,0.47,0.75,0.63,0.37,2,-0.387,-0.571
MHS-00177,2,0.55,0.72,0.57,0.51,2,-0.566,-0.176
MHS-00178,5,0.83,0.54,0.74,0.7,4,0.652,-0.027
MHS-00179,1,0.56,0.56,0.83,0.39,2,0.082,-0.959
MHS-00180,0,0.54,0.8,0.44,0.38,1,-0.504,-0.142
MHS-00181,3,0.62,0.53,0.81,0.73,4,0.402,-0.214
MHS-00182,2,0.86,0.46,0.97,0.88,4,0.564,-0.171
MHS-00183,3,0.7,0.47,0.83,0.77,4,0.445,-0.296
MHS-00184,3,0.5,0.57,0.48,0.44,3,0.094,0.08
MHS-00185,2,0.58,0.59,0.55,0.49,2,-0.09,-0.154
MHS-00186,5,0.59,0.71,0.57,0.45,2,-0.168,-0.282
MHS-00187,4,0.5,0.66,0.45,0.68,3,-0.176,0.372
MHS-00188,0,0.82,0.33,0.75,0.64,4,1.094,-0.159
MHS-00189,2,0.38,0.79,0.5,0.49,1,-0.844,-0.133
MHS-00190,4,0.73,0.46,0.85,0.8,4,0.596,-0.25
MHS-00191,2,0.63,0.47,0.59,0.42,2,0.355,-0.355
MHS-00192,5,0.84,0.47,0.81,0.6,4,0.591,-0.284
MHS-00193,5,0.67,0.54,0.74,0.65,4,0.141,-0.208
MHS-00194,5,0.76,0.46,0.86,0.74,4,0.614,-0.13
MHS-00195,5,0.54,0.97,0.55,0.49,1,-0.847,-0.132
MHS-00196,0,0.49,0.83,0.44,0.44,1,-0.796,0.047
MHS-00197,5,0.76,0.41,0.85,0.73,4,0.659,-0.318
MHS-00198,0,0.65,0.69,0.63,0.5,2,-0.109,-0.271
MHS-00199,3,0.53,0.53,0.49,0.42,2,0.003,-0.253
MHS-00200,4,0.72,0.57,0.86,0.57,4,0.35,-0.524
MHS-00201,5,0.37,0.67,0.57,0.49,1,-0.663,-0.281
MHS-00202,3,0.81,0.58,0.78,0.63,4,0.388,-0.093
MHS-00203,1,0.52,0.94,0.54,0.38,1,-1.004,-0.376
MHS-00204,3,0.5,0.58,0.61,0.53,2,-0.189,-0.327
MHS-00205,5,0.6,0.66,0.77,0.48,2,0.001,-0.632
MHS-00206,3,0.62,0.65,0.5,0.54,2,-0.22,0.091
MHS-00207,4,0.63,0.49,0.77,0.77,4,0.142,-0.037
MHS-00208,0,0.63,0.85,0.66,0.47,1,-0.422,-0.224
MHS-00209,4,0.4,0.81,0.46,0.43,1,-0.693,-0.055
MHS-00210,5,0.41,0.8,0.56,0.51,1,-0.684,0.102
MHS-00211,3,0.5,0.73,0.37,0.65,3,-0.532,0.579
MHS-00212,5,0.71,0.6,1.0,0.86,4,0.139,-0.201
MHS-00213,2,0.49,0.58,0.44,0.48,3,-0.153,0.293
MHS-00214,2,0.7,0.43,0.9,0.68,4,0.439,-0.205
MHS-00215,1,0.5,0.49,0.35,0.59,3,-0.143,0.617
MHS-00216,4,0.58,0.55,0.74,0.43,2,0.064,-0.58
MHS-00217,5,0.41,0.54,0.44,0.56,3,-0.354,0.246
MHS-00218,4,0.65,0.51,0.78,0.71,4,0.351,-0.105
MHS-00219,0,0.58,0.55,0.56,0.48,2,0.063,-0.206
MHS-00220,0,0.38,0.86,0.51,0.51,1,-1.032,-0.051
MHS-00221,1,0.55,0.67,0.76,0.52,2,-0.186,-0.415
MHS-00222,0,0.65,0.63,0.53,0.48,2,0.019,-0.215
MHS-00223,4,0.45,0.63,0.46,0.58,3,-0.459,0.279
MHS-00224,5,0.69,0.37,0.76,0.84,4,0.897,0.102
MHS-00225,3,0.54,0.51,0.56,0.41,2,-0.093,-0.126
MHS-00226,5,0.53,0.81,0.55,0.5,1,-0.504,-0.28
MHS-00227,2,0.56,0.7,0.52,0.48,1,-0.318,-0.252
MHS-00228,5,0.57,0.81,0.47,0.57,1,-0.328,0.169
MHS-00229,5,0.61,0.36,0.84,0.77,4,0.776,-0.061
MHS-00230,0,0.39,0.69,0.46,0.56,3,-0.603,0.072
MHS-00231,5,0.51,0.69,0.26,0.6,3,-0.443,0.689
MHS-00232,2,0.88,0.53,0.79,0.66,4,0.587,-0.248
MHS-00233,0,0.55,0.53,0.57,0.57,2,0.179,0.114
MHS-00234,3,0.75,0.36,0.73,0.71,4,0.736,-0.087
MHS-00235,3,0.39,0.69,0.44,0.52,3,-0.554,0.321
MHS-00236,2,0.79,0.47,0.83,0.7,4,0.585,-0.362
MHS-00237,2,0.72,0.53,0.76,0.76,4,0.297,-0.159
MHS-00238,0,0.65,0.39,0.77,0.79,4,0.416,0.033
MHS-00239,5,0.44,0.85,0.46,0.42,1,-0.836,-0.018
MHS-00240,1,0.64,0.35,0.88,0.71,4,0.428,-0.335
MHS-00241,1,0.62,0.52,0.63,0.44,2,0.141,-0.394
MHS-00242,0,0.57,0.46,0.58,0.42,2,0.345,-0.327
MHS-00243,5,0.76,0.37,0.81,0.82,4,0.856,0.036
MHS-00244,1,0.89,0.54,0.9,0.83,4,0.66,-0.185
MHS-00245,2,0.49,0.87,0.61,0.54,1,-0.795,-0.014
MHS-00246,3,0.58,0.44,0.81,0.7,4,0.42,-0.077
MHS-00247,3,0.44,0.67,0.55,0.4,1,-0.527,-0.37
MHS-00248,5,0.51,0.68,0.44,0.59,1,-0.343,0.306
MHS-00249,2,0.74,0.33,0.68,0.77,4,0.841,0.284
MHS-00250,4,0.46,0.96,0.49,0.6,1,-1.013,0.191
MHS-00251,3,0.49,0.73,0.66,0.63,1,-0.777,0.085
MHS-00252,0,0.81,0.41,0.91,0.62,4,0.726,-0.704
MHS-00253,0,0.38,0.72,0.55,0.43,1,-0.562,-0.177
MHS-00254,3,0.49,0.62,0.35,0.61,3,-0.38,0.629
MHS-00255,1,0.41,0.97,0.63,0.62,1,-0.975,-0.012
MHS-00256,5,0.56,0.48,0.66,0.5,2,0.204,-0.353
MHS-00257,1,0.47,0.74,0.42,0.58,1,-0.668,0.275
MHS-00258,2,0.52,0.49,0.44,0.48,3,0.097,0.172
MHS-00259,1,0.52,0.48,0.38,0.65,3,-0.191,0.491
MHS-00260,2,0.79,0.44,0.86,0.66,4,0.739,-0.403
MHS-00261,3,0.55,0.62,0.55,0.48,3,-0.129,-0.244
MHS-00262,0,0.51,0.52,0.63,0.46,2,-0.082,-0.222
MHS-00263,1,0.69,0.36,0.76,0.81,4,0.559,0.144
MHS-00264,5,0.45,0.74,0.37,0.53,3,-0.672,0.322
MHS-00265,2,0.52,0.56,0.28,0.67,3,-0.134,0.871
MHS-00266,4,0.48,0.83,0.31,0.51,3,-0.787,0.361
MHS-00267,4,0.56,0.88,0.54,0.46,1,-0.609,-0.158
MHS-00268,5,0.62,0.57,0.64,0.43,2,-0.038,-0.34
MHS-00269,1,0.64,0.63,0.44,0.43,2,0.117,0.009
MHS-00270,3,0.85,0.35,0.78,0.77,4,0.922,-0.053
MHS-00271,1,0.39,0.64,0.24,0.58,3,-0.562,0.719
MHS-00272,5,0.66,0.46,0.62,0.43,2,0.376,-0.317
MHS-00273,2,0.58,0.55,0.84,0.73,4,0.157,-0.293
MHS-00274,1,0.6,0.61,0.83,0.75,4,0.116,-0.104
MHS-00275,5,0.43,0.97,0.62,0.48,1,-1.055,-0.042
MHS-00276,2,0.48,0.78,0.61,0.57,1,-0.533,-0.095
MHS-00277,5,0.57,0.64,0.68,0.54,2,-0.161,-0.241
MHS-00278,1,0.42,0.89,0.52,0.46,1,-1.059,-0.164
MHS-00279,1,0.59,0.9,0.57,0.53,1,-0.718,0.021
MHS-00280,0,0.44,0.58,0.38,0.56,3,-0.13,0.517
MHS-00281,4,0.74,0.48,0.75,0.75,4,0.422,0.002
MHS-00282,1,0.47,0.73,0.6,0.52,2,-0.518,-0.076
MHS-00283,1,0.55,0.59,0.61,0.48,2,-0.099,-0.265
MHS-00284,4,0.55,0.51,0.63,0.36,2,0.213,-0.518
MHS-00285,2,0.5,0.75,0.58,0.43,1,-0.543,-0.366
MHS-00286,3,0.78,0.44,0.85,0.73,4,0.714,-0.175
MHS-00287,2,0.57,0.52,0.51,0.37,2,0.194,-0.436
MHS-00288,4,0.71,0.44,0.82,0.74,4,0.764,-0.159
MHS-00289,2,0.56,0.91,0.68,0.44,1,-0.716,-0.533
MHS-00290,5,0.4,0.8,0.66,0.57,1,-0.817,-0.129
MHS-00291,1,0.61,0.77,0.66,0.49,1,-0.282,-0.43
MHS-00292,4,0.74,0.5,0.92,0.74,4,0.505,-0.366
MHS-00293,3,0.68,0.52,0.39,0.68,3,0.341,0.863
MHS-00294,2,0.5,0.79,0.52,0.4,1,-0.58,-0.203
MHS-00295,1,0.48,0.82,0.45,0.6,1,-0.738,0.378
MHS-00296,3,0.78,0.35,0.8,0.68,4,0.836,-0.156
MHS-00297,4,0.8,0.48,0.7,0.83,4,0.553,0.185
MHS-00298,0,0.52,0.8,0.58,0.49,1,-0.667,-0.111
MHS-00299,3,0.64,0.43,0.78,0.77,4,0.463,-0.019
MHS-00300,5,0.69,0.39,0.84,0.77,4,0.731,-0.024
MHS-00301,2,0.62,0.56,0.57,0.37,2,0.223,-0.37
MHS-00302,0,0.53,0.73,0.62,0.62,1,-0.657,-0.068
MHS-00303,4,0.35,0.56,0.41,0.5,3,-0.46,0.186
MHS-00304,5,0.73,0.36,0.91,0.65,4,0.508,-0.443
MHS-00305,5,0.49,0.87,0.58,0.52,1,-0.892,-0.256
MHS-00306,3,0.63,0.72,0.62,0.55,1,-0.376,-0.087
MHS-00307,1,0.69,0.39,0.72,0.78,4,0.666,0.169
MHS-00308,4,0.45,0.68,0.31,0.64,3,-0.574,0.739
MHS-00309,0,0.43,0.66,0.46,0.49,3,-0.277,0.083
MHS-00310,1,0.56,0.69,0.6,0.4,2,-0.435,-0.335
MHS-00311,3,0.38,0.87,0.57,0.57,1,-1.004,0.024
MHS-00312,4,0.87,0.51,0.68,0.81,4,0.815,0.095
MHS-00313,3,0.3,0.86,0.53,0.45,1,-1.151,-0.228
MHS-00314,2,0.38,0.66,0.52,0.45,2,-0.561,-0.293
MHS-00315,1,0.54,0.63,0.43,0.34,2,-0.25,-0.278
MHS-00316,1,0.87,0.43,0.75,0.74,4,0.909,-0.1
MHS-00317,2,0.7,0.39,0.74,0.79,4,0.481,0.082
MHS-00318,4,0.8,0.63,0.52,0.54,3,0.25,0.05
MHS-00319,5,0.55,0.65,0.51,0.27,2,-0.179,-0.693
MHS-00320,5,0.79,0.35,0.73,0.63,4,0.818,0.009
MHS-00321,2,0.57,0.49,0.76,0.43,2,0.207,-0.873
MHS-00322,1,0.34,0.61,0.46,0.44,3,-0.549,-0.2
MHS-00323,1,0.66,0.51,0.47,0.51,3,0.238,0.245
MHS-00324,5,0.57,0.66,0.67,0.36,2,-0.381,-0.621
MHS-00325,1,0.57,0.62,0.64,0.4,2,0.13,-0.663
MHS-00326,1,0.51,0.78,0.61,0.55,1,-0.605,-0.1
MHS-00327,1,0.71,0.43,0.83,0.6,4,0.457,-0.411
MHS-00328,4,0.35,0.79,0.71,0.46,1,-0.933,-0.554
MHS-00329,1,0.73,0.49,0.72,0.81,4,0.585,0.145
MHS-00330,3,0.41,0.6,0.36,0.54,3,-0.168,0.288
MHS-00331,4,0.59,0.72,0.7,0.53,2,-0.276,-0.362
MHS-00332,5,0.75,0.55,1.0,0.81,4,0.447,-0.365
MHS-00333,5,0.62,0.64,0.6,0.38,2,0.058,-0.368
MHS-00334,4,0.47,0.54,0.45,0.52,3,-0.088,0.181
MHS-00335,2,0.47,0.91,0.58,0.63,1,-0.751,0.018
MHS-00336,4,0.58,0.61,0.65,0.46,2,-0.053,-0.419
MHS-00337,2,0.85,0.39,0.58,0.79,4,0.933,0.445
MHS-00338,0,0.6,0.53,0.61,0.4,2,0.086,-0.491
MHS-00339,2,0.82,0.44,0.79,0.66,4,0.837,-0.279
MHS-00340,0,0.66,0.48,0.53,0.32,2,0.552,-0.442
MHS-00341,4,0.55,0.77,0.47,0.48,1,-0.291,0.047
MHS-00342,3,0.8,0.45,0.83,0.72,4,0.691,-0.233
MHS-00343,5,0.62,0.43,0.79,0.68,4,0.366,-0.263
MHS-00344,4,0.5,0.69,0.34,0.5,3,-0.273,0.482
MHS-00345,2,0.78,0.43,0.74,0.74,4,0.637,-0.08
MHS-00346,3,0.34,0.85,0.4,0.57,1,-1.021,0.321
MHS-00347,4,0.67,0.62,0.68,0.31,2,0.038,-0.831
MHS-00348,4,0.64,0.46,0.66,0.38,2,0.35,-0.608
MHS-00349,2,0.77,0.53,0.89,0.55,4,0.573,-0.75
MHS-00350,0,0.75,0.37,0.79,0.79,4,0.791,-0.156
MHS-00351,3,0.32,0.91,0.6,0.42,1,-1.438,-0.367
MHS-00352,4,0.47,0.71,0.45,0.56,1,-0.486,0.168
MHS-00353,4,0.44,0.5,0.54,0.43,2,-0.166,-0.15
MHS-00354,5,0.83,0.54,0.87,0.67,4,0.514,-0.423
MHS-00355,5,0.45,0.7,0.58,0.49,1,-0.603,-0.299
MHS-00356,5,0.66,0.41,0.91,0.69,4,0.547,-0.436
MHS-00357,2,0.6,0.6,0.6,0.57,2,-0.03,-0.138
MHS-00358,5,0.9,0.48,0.92,0.83,4,0.748,-0.103
MHS-00359,3,0.71,0.34,0.87,0.76,4,0.737,-0.287
MHS-00360,5,0.81,0.39,0.81,0.85,4,0.835,0.014
MHS-00361,1,0.79,0.54,0.83,0.73,4,0.486,-0.123
MHS-00362,0,0.48,0.81,0.36,0.55,1,-0.639,0.241
MHS-00363,5,0.71,0.59,0.77,0.73,4,0.255,-0.046
MHS-00364,1,0.49,0.65,0.66,0.47,2,-0.287,-0.216
MHS-00365,5,0.64,0.61,0.39,0.57,3,-0.08,0.185
MHS-00366,0,0.64,0.86,0.44,0.61,1,-0.485,0.555
MHS-00367,5,0.65,0.56,0.77,0.74,4,0.237,-0.079
MHS-00368,1,0.75,0.45,0.9,0.78,4,0.449,-0.277
MHS-00369,1,0.77,0.34,0.92,0.69,4,0.898,-0.451
MHS-00370,3,0.47,0.85,0.62,0.36,1,-0.777,-0.512
MHS-00371,4,0.38,0.59,0.28,0.48,3,-0.494,0.492
MHS-00372,3,0.53,0.49,0.58,0.61,2,-0.042,0.08
MHS-00373,1,0.36,0.91,0.35,0.46,1,-0.904,0.177
MHS-00374,0,0.51,0.61,0.41,0.54,3,-0.436,0.204
MHS-00375,5,0.57,0.42,0.57,0.5,2,0.243,-0.191
MHS-00376,4,0.43,0.72,0.67,0.56,1,-0.589,-0.184
MHS-00377,5,0.46,0.72,0.52,0.55,1,-0.461,0.088
MHS-00378,4,0.52,0.7,0.6,0.39,2,-0.369,-0.416
MHS-00379,1,0.5,0.94,0.4,0.57,1,-0.934,0.406
MHS-00380,1,0.54,0.71,0.46,0.44,3,-0.453,-0.155
MHS-00381,4,0.82,0.36,0.84,0.64,4,0.568,-0.499
MHS-00382,5,0.59,0.52,0.64,0.57,2,0.04,-0.147
MHS-00383,1,0.49,0.46,0.65,0.33,2,-0.058,-0.692
MHS-00384,3,0.83,0.56,0.82,0.73,4,0.555,-0.032
